Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #,Total,Currency
2026-08-08T13:08:24-0500,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,-0.01,0,,--,0.00,,,,,,,,-0.01,USD
2026-08-07T16:00:00-0500,Money Movement,Withdrawal,,,,ACH DISBURSEMENT,"-1,405.19",0,,--,0.00,,,,,,,,"-1,405.19",USD
2026-08-06T14:35:50-0500,Trade,Sell to Close,SELL_TO_CLOSE,PFE   260918C00025000,Equity Option,Sold 1 PFE 09/18/26 Call 25.00 @ 1.48,148.00,1,148.00,0.00,-0.13,100,PFE,PFE,9/18/26,25.0,CALL,491412208,147.87,USD
2026-08-06T14:35:50-0500,Trade,Buy to Close,BUY_TO_CLOSE,PFE   260918C00030000,Equity Option,Bought 1 PFE 09/18/26 Call 30.00 @ 0.03,-3.00,1,-3.00,0.00,-0.12,100,PFE,PFE,9/18/26,30.0,CALL,491412208,-3.12,USD
2026-07-11T13:23:18-0500,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,-0.02,0,,--,0.00,,,,,,,,-0.02,USD
2026-07-08T09:29:33-0500,Trade,Sell to Close,SELL_TO_CLOSE,VLO   260724P00240000,Equity Option,Sold 1 VLO 07/24/26 Put 240.00 @ 1.13,113.00,1,113.00,0.00,-0.13,100,VLO,VLO,7/24/26,240.0,PUT,479603370,112.87,USD
2026-07-08T09:29:33-0500,Trade,Buy to Close,BUY_TO_CLOSE,VLO   260724P00245000,Equity Option,Bought 1 VLO 07/24/26 Put 245.00 @ 1.48,-148.00,1,-148.00,0.00,-0.12,100,VLO,VLO,7/24/26,245.0,PUT,479603370,-148.12,USD
2026-07-06T08:51:22-0500,Trade,Buy to Close,BUY_TO_CLOSE,HON2  260717P00215000,Equity Option,Bought 1 HON 07/17/26 Put 215.00 @ 0.93,-93.00,1,-93.00,0.00,-0.12,100,HON,HON,7/17/26,215.0,PUT,480824712,-93.12,USD
2026-07-06T08:51:22-0500,Trade,Sell to Close,SELL_TO_CLOSE,HON2  260717P00210000,Equity Option,Sold 1 HON 07/17/26 Put 210.00 @ 0.75,75.00,1,75.00,0.00,-0.13,100,HON,HON,7/17/26,210.0,PUT,480824712,74.87,USD
2026-06-29T11:50:02-0500,Trade,Buy to Open,BUY_TO_OPEN,VLO   260724P00240000,Equity Option,Bought 1 VLO 07/24/26 Put 240.00 @ 1.88,-188.00,1,-188.00,-1.00,-0.12,100,VLO,VLO,7/24/26,240.0,PUT,479602922,-189.12,USD
2026-06-29T11:50:02-0500,Trade,Sell to Open,SELL_TO_OPEN,VLO   260724P00245000,Equity Option,Sold 1 VLO 07/24/26 Put 245.00 @ 2.57,257.00,1,257.00,-1.00,-0.13,100,VLO,VLO,7/24/26,245.0,PUT,479602922,255.87,USD
2026-06-29T06:33:43-0500,Receive Deliver,Symbol Change,SELL_TO_OPEN,HON2  260717P00215000,Equity Option,Symbol change:  Open 1.0 HON2  260717P00215000,313.00,1,313.00,--,0.00,100,HON,HON,7/17/26,215.0,PUT,,313.00,USD
2026-06-29T06:33:43-0500,Receive Deliver,Symbol Change,BUY_TO_CLOSE,HON1  260717P00215000,Equity Option,Symbol change:  Close 1.0 HON1  260717P00215000,-313.00,1,-313.00,--,0.00,100,HON,HON,7/17/26,215.0,PUT,,-313.00,USD
2026-06-29T06:33:43-0500,Receive Deliver,Symbol Change,BUY_TO_OPEN,HON2  260717P00210000,Equity Option,Symbol change:  Open 1.0 HON2  260717P00210000,-228.00,1,-228.00,--,0.00,100,HON,HON,7/17/26,210.0,PUT,,-228.00,USD
2026-06-29T06:33:43-0500,Receive Deliver,Symbol Change,SELL_TO_CLOSE,HON1  260717P00210000,Equity Option,Symbol change:  Close 1.0 HON1  260717P00210000,228.00,1,228.00,--,0.00,100,HON,HON,7/17/26,210.0,PUT,,228.00,USD
2026-06-29T06:16:14-0500,Receive Deliver,Reverse Split,BUY_TO_OPEN,HON1  260717P00210000,Equity Option,Reverse split: Open 1.0 HON1  260717P00210000,-228.00,1,-228.00,--,0.00,100,HON,HON,7/17/26,210.0,PUT,,-228.00,USD
2026-06-29T06:16:14-0500,Receive Deliver,Reverse Split,SELL_TO_CLOSE,HON   260717P00210000,Equity Option,Reverse split: Close 1.0 HON   260717P00210000,228.00,1,228.00,--,0.00,100,HON,HON,7/17/26,210.0,PUT,,228.00,USD
2026-06-29T06:16:14-0500,Receive Deliver,Reverse Split,SELL_TO_OPEN,HON1  260717P00215000,Equity Option,Reverse split: Open 1.0 HON1  260717P00215000,313.00,1,313.00,--,0.00,100,HON,HON,7/17/26,215.0,PUT,,313.00,USD
2026-06-29T06:16:14-0500,Receive Deliver,Reverse Split,BUY_TO_CLOSE,HON   260717P00215000,Equity Option,Reverse split: Close 1.0 HON   260717P00215000,-313.00,1,-313.00,--,0.00,100,HON,HON,7/17/26,215.0,PUT,,-313.00,USD
2026-06-27T13:05:27-0500,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,-0.05,0,,--,0.00,,,,,,,,-0.05,USD
2026-06-26T08:30:02-0500,Trade,Sell to Close,SELL_TO_CLOSE,UNP   260717P00245000,Equity Option,Sold 1 UNP 07/17/26 Put 245.00 @ 0.80,80.00,1,80.00,0.00,-0.13,100,UNP,UNP,7/17/26,245.0,PUT,475022265,79.87,USD
2026-06-26T08:30:02-0500,Trade,Buy to Close,BUY_TO_CLOSE,UNP   260717P00250000,Equity Option,Bought 1 UNP 07/17/26 Put 250.00 @ 1.11,-111.00,1,-111.00,0.00,-0.12,100,UNP,UNP,7/17/26,250.0,PUT,475022265,-111.12,USD
2026-06-25T08:44:09-0500,Trade,Sell to Close,SELL_TO_CLOSE,MCD   260717P00265000,Equity Option,Sold 1 MCD 07/17/26 Put 265.00 @ 4.45,445.00,1,445.00,0.00,-0.13,100,MCD,MCD,7/17/26,265.0,PUT,478611676,444.87,USD
2026-06-25T08:44:09-0500,Trade,Buy to Close,BUY_TO_CLOSE,MCD   260717P00270000,Equity Option,Bought 1 MCD 07/17/26 Put 270.00 @ 6.99,-699.00,1,-699.00,0.00,-0.12,100,MCD,MCD,7/17/26,270.0,PUT,478611676,-699.12,USD
2026-06-24T16:00:00-0500,Money Movement,Withdrawal,,,,ACH DISBURSEMENT,"-1,700.00",0,,--,0.00,,,,,,,,"-1,700.00",USD
2026-06-23T08:30:24-0500,Trade,Sell to Open,SELL_TO_OPEN,HON   260717P00215000,Equity Option,Sold 1 HON 07/17/26 Put 215.00 @ 3.13,313.00,1,313.00,-1.00,-0.13,100,HON,HON,7/17/26,215.0,PUT,477833840,311.87,USD
2026-06-23T08:30:24-0500,Trade,Buy to Open,BUY_TO_OPEN,HON   260717P00210000,Equity Option,Bought 1 HON 07/17/26 Put 210.00 @ 2.28,-228.00,1,-228.00,-1.00,-0.12,100,HON,HON,7/17/26,210.0,PUT,477833840,-229.12,USD
2026-06-17T08:40:31-0500,Trade,Sell to Close,SELL_TO_CLOSE,RTX   260717P00170000,Equity Option,Sold 1 RTX 07/17/26 Put 170.00 @ 0.78,78.00,1,78.00,0.00,-0.13,100,RTX,RTX,7/17/26,170.0,PUT,476617749,77.87,USD
2026-06-17T08:40:31-0500,Trade,Buy to Close,BUY_TO_CLOSE,RTX   260717P00175000,Equity Option,Bought 1 RTX 07/17/26 Put 175.00 @ 1.26,-126.00,1,-126.00,0.00,-0.12,100,RTX,RTX,7/17/26,175.0,PUT,476617749,-126.12,USD
2026-06-16T08:55:44-0500,Trade,Buy to Open,BUY_TO_OPEN,RTX   260717P00170000,Equity Option,Bought 1 RTX 07/17/26 Put 170.00 @ 1.20,-120.00,1,-120.00,-1.00,-0.12,100,RTX,RTX,7/17/26,170.0,PUT,476264536,-121.12,USD
2026-06-16T08:55:44-0500,Trade,Sell to Open,SELL_TO_OPEN,RTX   260717P00175000,Equity Option,Sold 1 RTX 07/17/26 Put 175.00 @ 2.16,216.00,1,216.00,-1.00,-0.13,100,RTX,RTX,7/17/26,175.0,PUT,476264536,214.87,USD
2026-06-16T08:33:23-0500,Trade,Buy to Open,BUY_TO_OPEN,PFE   260918C00025000,Equity Option,Bought 1 PFE 09/18/26 Call 25.00 @ 1.73,-173.00,1,-173.00,-1.00,-0.12,100,PFE,PFE,9/18/26,25.0,CALL,476254767,-174.12,USD
2026-06-16T08:33:23-0500,Trade,Sell to Open,SELL_TO_OPEN,PFE   260918C00030000,Equity Option,Sold 1 PFE 09/18/26 Call 30.00 @ 0.20,20.00,1,20.00,-1.00,-0.13,100,PFE,PFE,9/18/26,30.0,CALL,476254767,18.87,USD
